id,name,unitType,parentSI,multiplierToSI,constantToSI,abbreviation,description
dimensionless,dimensionless,dimensionless,NA,NA,NA,NA,a designation asserting the absence of an associated unit
second,second,time,NA,1,NA,sec,SI unit of time
meter,meter,length,NA,1,NA,m,SI unit of length
kilogram,kilogram,mass,NA,1,NA,kg,SI unit of mass
kelvin,kelvin,temperature,NA,1,NA,K,SI unit of temperature
coulomb,coulomb,charge,NA,1,NA,C,SI unit of charge
ampere,ampere,current,NA,1,NA,A,SI unit of electrical current
mole,mole,amount,NA,1,NA,mol,SI unit of substance amount
candela,candela,luminosity,NA,1,NA,cd,SI unit of luminosity
number,number,dimensionless,NA,NA,NA,NA,a number
cubicMeter,cubicMeter,volume,NA,1,NA,m³,cubic meter
nominalMinute,nominalMinute,time,second,60,NA,NA,"one minute excluding leap seconds, 60 seconds"
nominalHour,nominalHour,time,second,3600,NA,NA,"one hour excluding leap seconds, 3600 seconds"
nominalDay,nominalDay,time,second,86400,NA,NA,"one day excluding leap seconds, 86400 seconds"
nominalWeek,nominalWeek,time,second,604800,NA,NA,"one day excluding leap seconds, 604800 seconds"
nominalYear,nominalYear,time,second,31536000,NA,NA,"one year excluding leap seconds and leap days, 31536000 seconds"
nominalLeapYear,nominalLeapYear,time,second,31622400,NA,NA,"one 366 day year excluding leap seconds, 31622400 seconds"
nanogram,nanogram,mass,kilogram,1E-12,NA,ng,0.000000000001 kg
microgram,microgram,mass,kilogram,0.000000001,NA,µg,0.000000001 kg
milligram,milligram,mass,kilogram,0.000001,NA,mg,0.000001 kg
centigram,centigram,mass,kilogram,0.00001,NA,cg,0.00001 kg
decigram,decigram,mass,kilogram,0.0001,NA,dg,0.0001 kg
gram,gram,mass,kilogram,0.001,NA,g,0.001 kg
dekagram,dekagram,mass,kilogram,0.01,NA,dag,.01 kg
hectogram,hectogram,mass,kilogram,0.1,NA,hg,.1 kg
megagram,megagram,mass,kilogram,1000,NA,Mg,1000 kg
tonne,tonne,mass,kilogram,1000,NA,T,metric ton or tonne
pound,pound,NA,kilogram,0.4536,NA,lbs,1 pound in the Avoirdupois (commerce) scale
ton,ton,NA,kilogram,907.1999,NA,ton,standard US (short) ton = 2000 lbs
celsius,celsius,NA,kelvin,1,273.18,C,A common unit of temperature
fahrenheit,fahrenheit,NA,kelvin,0.556,255.402,F,An obsolescent unit of temperature still used in popular meteorology
nanometer,nanometer,NA,meter,0.000000001,NA,nm,.000000001 meters
micrometer,micrometer,NA,meter,0.000001,NA,µm,.000001 meters
micron,micron,NA,meter,0.000001,NA,µ,.000001 meters
millimeter,millimeter,NA,meter,0.001,NA,mm,.001 meters
centimeter,centimeter,NA,meter,0.01,NA,cm,.01 meters
decimeter,decimeter,NA,meter,0.1,NA,dm,.1 meters
dekameter,dekameter,NA,meter,10,NA,dam,10 meters
hectometer,hectometer,NA,meter,100,NA,hm,100 meters
kilometer,kilometer,NA,meter,1000,NA,km,1000 meters
megameter,megameter,NA,meter,1000000,NA,Mm,1000000 meters
angstrom,angstrom,NA,meter,1E-10,NA,Å,1/10000000000 meter
inch,inch,NA,meter,0.0254,NA,in,An imperial measure of length
Foot_US,Foot_US,NA,meter,0.3048,NA,usft,12 inches
foot,foot,NA,meter,0.3048,NA,ft,12 inches
Foot_Gold_Coast,Foot_Gold_Coast,NA,meter,0.3047997,NA,gcft,12 inches
fathom,fathom,NA,meter,1.8288,NA,NA,6 feet
nauticalMile,nauticalMile,NA,meter,1852,NA,NA,nautical mile
yard,yard,NA,meter,0.9144,NA,yard,3 feet
Yard_Indian,Yard_Indian,NA,meter,0.914398531,NA,NA,"This is an ESRI unit and the multiplier comes from ESRI.  It
    may not be accurate."
Link_Clarke,Link_Clarke,NA,meter,0.201166195,NA,NA,"This is an ESRI unit and the multiplier comes from ESRI.  It
    may not be accurate."
Yard_Sears,Yard_Sears,NA,meter,0.914398415,NA,NA,"This is an ESRI unit and the multiplier comes from ESRI.  It
    may not be accurate."
mile,mile,NA,meter,1609.344,NA,mile,5280 ft or 1609.344 meters
nanosecond,nanosecond,NA,second,0.000000001,NA,nsec,1/1000000 of a second
microsecond,microsecond,NA,second,0.000001,NA,µsec,1/100000 of a second
millisecond,millisecond,NA,second,0.001,NA,msec,1/1000 of a second
centisecond,centisecond,NA,second,0.01,NA,csec,1/100 of a second
decisecond,decisecond,NA,second,0.1,NA,dsec,1/10 of a second
dekasecond,dekasecond,NA,second,10,NA,dasec,10 seconds
hectosecond,hectosecond,NA,second,100,NA,hsec,100 seconds
kilosecond,kilosecond,NA,second,1000,NA,ksec,1000 seconds
megasecond,megasecond,NA,second,1000000,NA,Msec,1000000 seconds
minute,minute,NA,second,60,NA,min,60 seconds
hour,hour,NA,second,3600,NA,hr,3600 seconds
kiloliter,kiloliter,volume,cubicMeter,1,NA,kL,1 cubic meter
microliter,microliter,volume,cubicMeter,0.000000001,NA,µl,1/1000000 of a liter
milliliter,milliliter,volume,cubicMeter,0.000001,NA,ml,1/1000 of a liter
liter,liter,volume,cubicMeter,0.001,NA,L,1000 cm^3
gallon,gallon,NA,liter,3.785412,NA,gal,US liquid gallon
quart,quart,NA,liter,0.946353,NA,qt,US liquid quart
bushel,bushel,volume,liter,0.035239,NA,b,1 bushel = 35.23907 liters
cubicInch,cubicInch,volume,liter,1.63871E-05,NA,in³,cubic inch
pint,pint,NA,liter,0.473176,NA,pint,US liquid pint
radian,radian,angle,NA,1,NA,rad,2 pi radians comprise a unit circle.
degree,degree,angle,radian,0.017453292,NA,º,360 degrees comprise a unit circle
grad,grad,angle,radian,0.015707,NA,grad,a plane angle equivalent to 1/400 of a full circle
megahertz,megahertz,frequency,hertz,1000000,NA,MHz,megahertz
kilohertz,kilohertz,frequency,hertz,1000,NA,KHz,kilohertz
hertz,hertz,frequency,NA,1,NA,Hz,hertz
millihertz,millihertz,frequency,hertz,0.000001,NA,mHz,millihertz
newton,newton,force,NA,1,NA,N,newton
joule,joule,energy,NA,1,NA,J,joule = N*m
calorie,calorie,energy,joule,4.1868,NA,cal,1 cal = 4.1868 J
britishThermalUnit,britishThermalUnit,energy,joule,1055.0559,NA,btu,1 btu = 1055.0559 J
footPound,footPound,energy,joule,1.355818,NA,NA,1 ft-lbs = 1.355818 J
lumen,lumen,luminosity,NA,1,NA,lm,lumen
lux,lux,illuminance,NA,1,NA,lx,lux
becquerel,becquerel,radionucleotideActivity,NA,1,NA,Bq,becquerel
gray,gray,specificEnergy,NA,1,NA,Gy,gray
sievert,sievert,doseEquivalent,NA,1,NA,Sv,sievert
katal,katal,catalyticActivity,NA,1,NA,kat,katal
henry,henry,inductance,NA,1,NA,H,henry
megawatt,megawatt,power,watt,1000000,NA,MW,megawatt
kilowatt,kilowatt,power,watt,1000,NA,kW,kilowatt
watt,watt,power,NA,1,NA,W,watt = J/s
milliwatt,milliwatt,power,watt,0.001,NA,mW,milliwatt
megavolt,megavolt,potentialDifference,volt,1000000,NA,MV,megavolt
kilovolt,kilovolt,potentialDifference,volt,1000,NA,kV,kilovolt
volt,volt,potentialDifference,NA,1,NA,V,volt
millivolt,millivolt,potentialDifference,volt,0.001,NA,mV,millivolt
farad,farad,capacitance,NA,1,NA,F,farad
ohm,ohm,resistance,NA,1,NA,O,ohm
ohmMeter,ohmMeter,resistivity,NA,1,NA,Om,ohm meters
siemen,siemen,conductance,NA,1,NA,S,siemen
