id,name,unitType,parentSI,multiplierToSI,constantToSI,abbreviation,description
weber,weber,magneticFlux,NA,1,NA,Wb,weber
tesla,tesla,magneticFluxDensity,NA,1,NA,T,tesla
pascal,pascal,pressure,NA,1,NA,Pa,pascal
megapascal,megapascal,pressure,pascal,1000000,NA,MPa,megapascal
kilopascal,kilopascal,pressure,pascal,1000,NA,kPa,kilopascal
atmosphere,atmosphere,pressure,pascal,101325,NA,atm,1 atmosphere = 101325 pascals 
bar,bar,pressure,pascal,100000,NA,bar,1 bar = 100000 pascals
millibar,millibar,pressure,pascal,100,NA,mbar,millibar
kilogramsPerSquareMeter,kilogramsPerSquareMeter,arealMassDensity,NA,1,NA,kg/m²,kilograms per square meter
gramsPerSquareMeter,gramsPerSquareMeter,arealMassDensity,kilogramsPerSquareMeter,0.001,NA,g/m²,grams per square meter
milligramsPerSquareMeter,milligramsPerSquareMeter,arealMassDensity,kilogramsPerSquareMeter,0.000001,NA,mg/m²,milligrams Per Square Meter
kilogramsPerHectare,kilogramsPerHectare,arealMassDensity,kilogramsPerSquareMeter,0.0001,NA,NA,kilograms per hectare
tonnePerHectare,tonnePerHectare,arealMassDensity,kilogramsPerSquareMeter,0.1,NA,NA,metric ton or tonne per hectare
poundsPerSquareInch,poundsPerSquareInch,arealMassDensity,kilogramsPerSquareMeter,17.85,NA,lbs/in²,lbs/square inch
kilogramPerCubicMeter,kilogramPerCubicMeter,massDensity,NA,1,NA,NA,kilogram per cubic meter
milliGramsPerMilliLiter,milliGramsPerMilliLiter,massDensity,kilogramsPerCubicMeter,1,NA,kg/m³,milligrams per milliliter
gramsPerLiter,gramsPerLiter,massDensity,kilogramsPerCubicMeter,1,NA,g/l,grams per liter
milligramsPerCubicMeter,milligramsPerCubicMeter,massDensity,kilogramsPerCubicMeter,0.000001,NA,mg/m³,milligrams Per Cubic Meter
microgramsPerLiter,microgramsPerLiter,massDensity,kilogramsPerCubicMeter,0.000001,NA,µg/l,micrograms / liter
milligramsPerLiter,milligramsPerLiter,massDensity,kilogramsPerCubicMeter,0.001,NA,mg/l,milligrams / liter
gramsPerCubicCentimeter,gramsPerCubicCentimeter,massDensity,kilogramsPerCubicMeter,1000,NA,g/cm³,grams per cubic centimeter
gramsPerMilliliter,gramsPerMilliliter,massDensity,kilogramsPerCubicMeter,1000,NA,g/ml,grams per milliliter
gramsPerLiterPerDay,gramsPerLiterPerDay,volumetricMassDensityRate,NA,1,NA,NA,grams Per (Liter Per Day)
litersPerSecond,litersPerSecond,volumetricRate,NA,1,NA,l/s,liters per second
cubicMetersPerSecond,cubicMetersPerSecond,volumetricRate,litersPerSecond,1,NA,m³/s,cubic meters per second
cubicFeetPerSecond,cubicFeetPerSecond,volumetricRate,litersPerSecond,28.316874,NA,ft³/sec,cubic feet per second
squareMeter,squareMeter,area,NA,1,NA,m²,square meters
are,are,area,squareMeter,100,NA,a,100 square meters
hectare,hectare,area,squareMeter,10000,NA,ha,1 hectare is 10^4 square meters
squareKilometers,squareKilometers,area,squareMeter,1000000,NA,NA,square kilometers
squareMillimeters,squareMillimeters,area,squareMeter,0.000001,NA,NA,square millmeters
squareCentimeters,squareCentimeters,area,squareMeter,0.0001,NA,NA,square centimeters
acre,acre,area,squareMeter,4046.8564,NA,a,1 acre = 4046.8564 square meters or 1 hectare = 2.4710 acres
squareFoot,squareFoot,area,squareMeter,0.092903,NA,ft²,12 inches squared
squareYard,squareYard,area,squareMeter,0.836131,NA,yd²,36 inches squared
squareMile,squareMile,area,squareMeter,2589998.498,NA,mile²,1 mile squared
litersPerSquareMeter,litersPerSquareMeter,volumetricArea,NA,1,NA,l/m²,liters per square meter
bushelsPerAcre,bushelsPerAcre,volumetricArea,litersPerSquareMeter,0.0087,NA,NA,bushels per acre -- 1 bushel = 35.23907 liters/1 acre = 4046.8564 squareMeters
litersPerHectare,litersPerHectare,volumetricArea,litersPerSquareMeter,0.0001,NA,NA,liters per hectare
squareMeterPerKilogram,squareMeterPerKilogram,specificArea,NA,1,NA,m²/kg,square meters per kilogram
metersPerSecond,metersPerSecond,speed,metersPerSecond,1,NA,m/s,meters per second
metersPerDay,metersPerDay,speed,NA,1.15741E-05,NA,m/day,meters per day
feetPerDay,feetPerDay,speed,metersPerSecond,3.52778E-06,NA,ft/day,feet per day
feetPerSecond,feetPerSecond,speed,metersPerSecond,0.3048,NA,ft/s,feet per second
feetPerHour,feetPerHour,speed,metersPerSecond,0.000084667,NA,ft/hr,feet per hour
yardsPerSecond,yardsPerSecond,speed,metersPerSecond,0.9144,NA,yd/s,yards per second
milesPerHour,milesPerHour,speed,metersPerSecond,0.44704,NA,mph,miles per hour
milesPerSecond,milesPerSecond,speed,metersPerSecond,1609.344,NA,mps,miles per second
milesPerMinute,milesPerMinute,speed,metersPerSecond,26.8224,NA,mpm,miles per minute
centimetersPerSecond,centimetersPerSecond,speed,metersPerSecond,0.01,NA,cm/s,centimeters per second
millimetersPerSecond,millimetersPerSecond,speed,metersPerSecond,0.001,NA,mm/s,millimeters per second
centimeterPerYear,centimeterPerYear,speed,metersPerSecond,3.17098E-10,NA,cm/year,centimeter Per Year
knots,knots,speed,metersPerSecond,0.514444,NA,NA,knots
kilometersPerHour,kilometersPerHour,speed,metersPerSecond,0.2778,NA,km/hr,km/hr
metersPerSecondSquared,metersPerSecondSquared,acceleration,NA,1,NA,m/s²,meters per second squared
waveNumber,waveNumber,lengthReciprocal,NA,1,NA,NA,1/meters
cubicMeterPerKilogram,cubicMeterPerKilogram,specificVolume,NA,1,NA,m³/kg,cubic meters per kilogram
cubicMicrometersPerGram,cubicMicrometersPerGram,specificVolume,cubicMeterPerKilogram,1E-15,NA,µm³/kg,cubic micrometers per gram
amperePerSquareMeter,amperePerSquareMeter,currentDensity,NA,1,NA,A/m²,ampere per meter squared
amperePerMeter,amperePerMeter,magneticFieldStrength,NA,1,NA,A/m,ampere per meter
molePerCubicMeter,molePerCubicMeter,amountOfSubstanceConcentration,NA,1,NA,NA,mole per cubic meter
molarity,molarity,amountOfSubstanceConcentration,molesPerCubicMeter,1000,NA,M,molarity = moles/liter
molality,molality,amountOfSubstanceWeight,NA,1,NA,m,molality = moles/kg
candelaPerSquareMeter,candelaPerSquareMeter,luminance,NA,1,NA,cd/m²,candela Per Square Meter
metersSquaredPerSecond,metersSquaredPerSecond,transmissivity,NA,1,NA,m²/s,meters squared per second
metersSquaredPerDay,metersSquaredPerDay,transmissivity,metersSquaredPerSecond,86400,NA,m²/day,meters squared per day
feetSquaredPerDay,feetSquaredPerDay,transmissivity,metersSquaredPerSecond,0.000124586,NA,ft²/day,feet squared per day
kilogramsPerMeterSquaredPerSecond,kilogramsPerMeterSquaredPerSecond,arealMassDensityRate,NA,1,NA,NA,kilograms per meter sqared per second
gramsPerCentimeterSquaredPerSecond,gramsPerCentimeterSquaredPerSecond,arealMassDensityRate,kilogramsPerMeterSquaredPerSecond,0.1,NA,NA,grams Per Centimeter Squared Per Second
gramsPerMeterSquaredPerYear,gramsPerMeterSquaredPerYear,arealMassDensityRate,kilogramsPerMeterSquaredPerSecond,3.17098E-11,NA,NA,grams Per Meter Squared Per Year
gramsPerHectarePerDay,gramsPerHectarePerDay,arealMassDensityRate,kilogramsPerMeterSquaredPerSecond,1.1574E-12,NA,NA,grams Per Hectare Squared Per Day
kilogramsPerHectarePerYear,kilogramsPerHectarePerYear,arealMassDensityRate,kilogramsPerMeterSquaredPerSecond,0.000317,NA,NA,kilograms Per Hectare Per Year
kilogramsPerMeterSquaredPerYear,kilogramsPerMeterSquaredPerYear,arealMassDensityRate,kilogramsPerMeterSquaredPerSecond,317,NA,NA,kilograms Per Meter Squared Per Year
molesPerKilogram,molesPerKilogram,amountOfSubstanceWeight,NA,1,NA,NA,moles per kilogram
molesPerGram,molesPerGram,amountOfSubstanceWeight,molesPerKilogram,1000,NA,NA,moles per gram
millimolesPerGram,millimolesPerGram,amountOfSubstanceWeight,molesPerKilogram,1,NA,NA,millimoles per gram
molesPerKilogramPerSecond,molesPerKilogramPerSecond,amountOfSubstanceWeightFlux,NA,1,NA,NA,moles per kilogram per second
nanomolesPerGramPerSecond,nanomolesPerGramPerSecond,amountOfSubstanceWeightFlux,molesPerKilogramPerSecond,0.000001,NA,NA,nanomoles Per Gram Per Second
kilogramsPerSecond,kilogramsPerSecond,massFlux,NA,1,NA,kg/s,kilograms per second
tonnesPerYear,tonnesPerYear,massFlux,kilogramsPerSecond,0.0000317,NA,NA,tonnes Per Year
gramsPerYear,gramsPerYear,massFlux,kilogramsPerSecond,3.17E-11,NA,g/yr,grams Per Year
numberPerMeterSquared,numberPerMeterSquared,arealDensity,NA,1,NA,NA,number per meter squared
numberPerKilometerSquared,numberPerKilometerSquared,arealDensity,numberPerMeterSquared,0.000001,NA,NA,number per kilometer squared
numberPerMeterCubed,numberPerMeterCubed,volumetricDensity,NA,1,NA,NA,number per meter cubed
numberPerLiter,numberPerLiter,volumetricDensity,numberPerMeterCubed,0.001,NA,NA,number of entities per liter
numberPerMilliliter,numberPerMilliliter,volumetricDensity,numberPerMeterCubed,0.000001,NA,NA,number of entities per milliliter
metersPerGram,metersPerGram,massSpecificLength,NA,1,NA,m/g,meters per gram
numberPerGram,numberPerGram,massSpecificCount,NA,1,NA,NA,number of entities per gram
gramsPerGram,gramsPerGram,massPerMass,NA,1,NA,NA,grams per gram
microgramsPerGram,microgramsPerGram,massPerMass,gramsPerGram,0.000001,NA,NA,micrograms per gram
cubicCentimetersPerCubicCentimeters,cubicCentimetersPerCubicCentimeters,volumePerVolume,NA,1,NA,NA,cubic centimeters per cubic centimeter
